Investor,City,Country,Latitude,Longitude,Closest FUA
Swedish Energy Agency,Eskilstuna,Sweden,59.3717379,16.5051474,Västerås
European Investment Bank,Luxembourg,Luxembourg,49.8158683,6.1296751,Luxembourg
Volkswagen Group,Wolfsburg,Germany,52.4205588,10.7861682,Wolfsburg
Vargas Holding,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Vattenfall,Solna,Sweden,59.361367,18.0013693,Stockholm
EIT InnoEnergy,Eindhoven,Netherlands,51.4392648,5.478633,Eindhoven
BNP Paribas,Paris,France,48.8534951,2.3483915,Paris
Danske Bank,Copenhagen,Denmark,55.6867243,12.5700724,København
Danica Pension,Kongens Lyngby,Denmark,55.7718649,12.5051413,København
Intesa Sanpaolo,Turin,Italy,45.0677551,7.6824892,Torino
ING Group,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
KFW,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
PFA Pension,Copenhagen,Denmark,55.6867243,12.5700724,København
Siemens,Munich,Germany,48.1371079,11.5753822,München
Societe Generale,Paris,France,48.8534951,2.3483915,Paris
UniCredit,Milan,Italy,45.4641943,9.1896346,Milano
Nordic Investment Bank,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
APG,Heerlen,Netherlands,50.8775239,5.9815066,Heerlen
SEB Group,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Daniel Ek,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Norrsken VC,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Första Ap-Fonden (Ap1),Stockholm,Sweden,59.3251172,18.0710935,Stockholm
AMF,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
ATP,Hillerød,Denmark,55.9285735,12.3063909,Helsingborg
Cristina Stenbeck,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
IMAS Foundation,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Stena Metall,Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
Scania,Södertälje,Sweden,59.1964289,17.6271663,Stockholm
Compagnia di San Paolo,Turin,Italy,45.0677551,7.6824892,Torino
Andra Ap-Fonden (Ap2),Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
Tredje Ap-Fonden (Ap3),Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Fjärde Ap-Fonden (Ap4),Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Ava,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Folksam,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Swedbank Robur,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Olympia Group,Athens,Greece,37.9755648,23.7348324,Athina
Boundary Holding,Luxembourg,Luxembourg,49.8158683,6.1296751,Luxembourg
Exor,Turin,Italy,45.0677551,7.6824892,Torino
FAM AB,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Kingspan Group,Kingscourt,Ireland,53.905931,-6.7873513,Dublin
Mercedes-Benz,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
SMS group,Düsseldorf,Germany,51.2254018,6.7763137,Düsseldorf
Robert Maersk Uggla,Copenhagen,Denmark,55.6867243,12.5700724,København
Ane Maersk Uggla,Copenhagen,Denmark,55.6867243,12.5700724,København
Altor Equity Partners,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Bilstein Group,Hagen,Germany,51.3582945,7.473296,Iserlohn
Marcegaglia,Gazoldo degli Ippoliti,Italy,45.200277,10.579383,Verona
FAM.se,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Swedish Export Credit Corporation,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Euler Hermes,Paris,France,48.8534951,2.3483915,Paris
Swedish National Debt Office,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Kinnevik,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Schaeffler Production CZ,Prague,Czech Republic,50.0874654,14.4212535,Praha
Commerzbank,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Global Founders Capital,Berlin,Germany,52.510885,13.3989367,Berlin
Neosfer (previously Main Incubator),Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
K-Invest,Luxembourg,Luxembourg,49.8158683,6.1296751,Luxembourg
Varengold,Hamburg,Germany,53.550341,10.000654,Hamburg
Coparion,Cologne,Germany,50.938361,6.959974,Köln
Eiffel Investment Group,Paris,France,48.8534951,2.3483915,Paris
Rocket Internet,Berlin,Germany,52.510885,13.3989367,Berlin
Target Global,Berlin,Germany,52.510885,13.3989367,Berlin
Co-Investor,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Korelya Capital,Paris,France,48.8534951,2.3483915,Paris
SevenVentures,Unterföhring,Germany,48.1950385,11.6449251,München
German Media Pool VC,Berlin,Germany,52.510885,13.3989367,Berlin
Spreadshirt,Leipzig,Germany,51.3406321,12.3747329,Leipzig
Lukasz Gadowski,Berlin,Germany,52.510885,13.3989367,Berlin
Picus Capital,Munich,Germany,48.1371079,11.5753822,München
Robert Gentz,Berlin,Germany,52.510885,13.3989367,Berlin
David Schneider,Berlin,Germany,52.510885,13.3989367,Berlin
Rubin Ritter,Berlin,Germany,52.510885,13.3989367,Berlin
HV Capital,Munich,Germany,48.1371079,11.5753822,München
E.R. Capital Holdings,Hamburg,Germany,53.550341,10.000654,Hamburg
Thomas Griesel,Berlin,Germany,52.510885,13.3989367,Berlin
Christopher Muhr,Berlin,Germany,52.510885,13.3989367,Berlin
Prime Capital,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Infranity,Paris,France,48.8534951,2.3483915,Paris
Heliad Equity Partners,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
Minc,Malmö,Sweden,55.6052931,13.0001566,Malmö
Johan Persson,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Nils Idoff,Malmö,Sweden,55.6052931,13.0001566,Malmö
Stena Ventures,Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
af Jochnick Foundation,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Sandberg Development,Malmö,Sweden,55.6052931,13.0001566,Malmö
Peter Carlsson,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Vinnova,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Investment AB Öresund,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Formica Capital,Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
NREP,Copenhagen,Denmark,55.6867243,12.5700724,København
Soläng Invest,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
K2A,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
M2 Asset Management AB,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Stena AB,Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
Philian Invest,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Polar Growth,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Vatio,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
The C. Ehrnrooth Foundation,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Rutger Arnhult,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Capricorn Partners,Leuven,Belgium,50.879202,4.7011675,Bruxelles/Brussel/Leuven
Aster Capital,Paris,France,48.8534951,2.3483915,Paris
ING Bank Corporate Finance,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Aescap,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Sofinnova Partners,Paris,France,48.8534951,2.3483915,Paris
Danone,Paris,France,48.8534951,2.3483915,Paris
PMV,Brussels,Belgium,50.8465573,4.351697,Mechelen
De Hoge Dennen Capital,Laren,Netherlands,52.2565894,5.2251925,Soest
ALPLA,Hard,Austria,47.489391,9.6916539,Friedrichshafen
FPIM,Brussels,Belgium,50.8465573,4.351697,Mechelen
Eurostars SME programme,Brussels,Belgium,50.8465573,4.351697,Mechelen
European Innovation Council,Brussels,Belgium,50.8465573,4.351697,Mechelen
Thuja Capital,Utrecht,Netherlands,52.0809856,5.127684,Utrecht
Horizon 2020 FTI (Fast Track to Innovation),Brussels,Belgium,50.8465573,4.351697,Mechelen
SFPI-FPIM,Brussels,Belgium,50.8465573,4.351697,Mechelen
Quest for Growth,Leuven,Belgium,50.879202,4.7011675,Bruxelles/Brussel/Leuven
Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,51.4392648,5.478633,Eindhoven
Invest-NL,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
ABN AMRO,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Rabobank,Utrecht,Netherlands,52.0809856,5.127684,Utrecht
ASN Bank,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Wave Ventures,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
David Helgason,Copenhagen,Denmark,55.6867243,12.5700724,København
Mika Ihamuotila,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Lifeline Ventures,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Maria 01,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Cherry Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Moaffak Ahmed,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Maija Itkonen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Auxxo Female Catalyst Fund,Hamburg,Germany,53.550341,10.000654,Hamburg
EIC Fund (European Innovation Council Fund),Brussels,Belgium,50.8465573,4.351697,Mechelen
DHS Venture Partners,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Magnus Bergman,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Mattias Miksche,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Sophia Bendz,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Filip Engelbert,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Jonas Nordlander,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Eequity,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Electrolux,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Lars Lindgren,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Daniel Frodin,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Daniel Lauren,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Foxhelm Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Johan Siwers,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Sting,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
SUP46,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
J12 Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Otiva,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Technologiegründerfonds Sachsen,Dresden,Germany,51.0493286,13.7381437,Dresden
Wellington Partners,Munich,Germany,48.1371079,11.5753822,München
High-Tech Gründerfonds,Bonn,Germany,50.735851,7.10066,Bonn
BASF Venture Capital,Ludwigshafen,Germany,49.4704113,8.4381568,Mannheim-Ludwigshafen
ECAPITAL,Münster,Germany,51.9625101,7.6251879,Münster
Engie Rassembleurs d’Energies,Paris,France,48.8534951,2.3483915,Paris
Innogy Ventures,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
CEE Group,Hamburg,Germany,53.550341,10.000654,Hamburg
Aqton,Munich,Germany,48.1371079,11.5753822,München
Tudag,Dresden,Germany,51.0493286,13.7381437,Dresden
BASF,Ludwigshafen,Germany,49.4704113,8.4381568,Mannheim-Ludwigshafen
Innogy Innovation Hub,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
Innogy Venture Capital,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
ENGIE New Ventures,Paris,France,48.8534951,2.3483915,Paris
Future Energy Ventures,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
Bosch,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Robert Bosch Venture Capital,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Vincent RUINET,Paris,France,48.8534951,2.3483915,Paris
Northzone,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Inbox,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
D-Ax,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
IKEA,Delft,Netherlands,52.0114017,4.35839,'s-Gravenhage
Inbox Capital,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
LeadX Capital Partners,Munich,Germany,48.1371079,11.5753822,München
SEB Private Equity,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Gullspang Invest,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Edastra,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Blume Equity,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Gullspång Re:food,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Novax,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Ingka Group,Leiden,Netherlands,52.1594747,4.4908843,Leiden
Norrsken Foundation,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Electranova Capital,Paris,France,48.8534951,2.3483915,Paris
TotalEnergies Carbon Neutrality Ventures,Paris,France,48.8534951,2.3483915,Paris
Électricité de France (EDF group),Paris,France,48.8534951,2.3483915,Paris
Eurazeo,Paris,France,48.8534951,2.3483915,Paris
TotalEnergies,Paris,France,48.8534951,2.3483915,Paris
FMO Entrepreneurial Development Bank,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Eurazeo Investment Manager,Paris,France,48.8534951,2.3483915,Paris
Tim Schumacher,Cologne,Germany,50.938361,6.959974,Köln
Partech,Paris,France,48.8534951,2.3483915,Paris
Heartcore Capital (Sunstone Capital),Copenhagen,Denmark,55.6867243,12.5700724,København
Statkraft Ventures,Düsseldorf,Germany,51.2254018,6.7763137,Düsseldorf
BayWa re Energy Ventures,Munich,Germany,48.1371079,11.5753822,München
Inven Capital,Prague,Czech Republic,50.0874654,14.4212535,Praha
RSJ Investments SICAV a.s.,Prague,Czech Republic,50.0874654,14.4212535,Praha
TS Ventures,Munich,Germany,48.1371079,11.5753822,München
TS Ventures GmbH,Munich,Germany,48.1371079,11.5753822,München
Berliner Volksbank,Berlin,Germany,52.510885,13.3989367,Berlin
Ecosia,Berlin,Germany,52.510885,13.3989367,Berlin
